 PbW Density=11.35
 Energy(eV), Delta, Beta
  30.  0.0691307262  0.136023745
  30.5225792  0.0632484108  0.133473992
  31.054266  0.0574476421  0.131187528
  31.5952091  0.0517652333  0.129284382
  32.1455765  0.0462229401  0.127609581
  32.7055321  0.0406284295  0.126186982
  33.2752457  0.0350714028  0.12521711
  33.8548775  0.0296989642  0.12446636
  34.4446106  0.0240327269  0.123873584
  35.0446129  0.0180785842  0.124242373
  35.6550674  0.012505956  0.125277773
  36.2761536  0.00685362285  0.126323447
  36.908062  0.000269317447  0.128633931
  37.5509758 -0.00570082897  0.133765265
  38.2050934 -0.00977396872  0.139942437
  38.8706017 -0.0122872237  0.146915793
  39.5477028 -0.0141866477  0.154744297
  40.2365952 -0.0130455475  0.166397884
  40.9374924 -0.00281425356  0.176131651
  41.6506004  0.00885781273  0.176773116
  42.3761292  0.0178652722  0.176038012
  43.1142921  0.0258702766  0.170241475
  43.8653145  0.0298348796  0.163567573
  44.6294212  0.030031614  0.156151146
  45.4068375  0.0273583531  0.152985156
  46.1977959  0.0250679627  0.151403457
  47.0025291  0.0230756048  0.152054787
  47.8212852  0.0224902201  0.154044583
  48.6543007  0.0233288482  0.15694432
  49.5018311  0.0263217147  0.160367668
  50.3641205  0.0316709913  0.163221002
  51.2414322  0.0386255905  0.163484186
  52.1340256  0.0456468351  0.161876336
  53.0421677  0.0516900718  0.158188552
  53.9661293  0.0570073165  0.154366508
  54.9061813  0.0619880445  0.149254307
  55.8626137  0.0656445846  0.143372849
  56.8357048  0.06807971  0.137797937
  57.8257484  0.0699689686  0.132512003
  58.8330345  0.0714807436  0.127497703
  59.8578682  0.0728219822  0.122738488
  60.9005585  0.0740657523  0.117908433
  61.9614029  0.0749742165  0.112963639
  63.0407295  0.075492017  0.108197048
  64.1388626  0.0758363828  0.103664458
  65.2561188  0.0762287229  0.0992539376
  66.3928375  0.0764796063  0.0945543051
  67.5493622  0.076209262  0.0898303092
  68.7260284  0.0756112561  0.0853605792
  69.9231949  0.0748137087  0.0811335966
  71.1412125  0.0738899186  0.0771364719
  72.3804474  0.0728774294  0.0733058304
  73.6412659  0.0717468709  0.0695930123
  74.9240494  0.0704959631  0.0660920069
  76.2291794  0.0691866279  0.0627892241
  77.557045  0.0678515658  0.059671957
  78.9080353  0.0666484088  0.0567285977
  80.2825623  0.0653695986  0.0535967089
  81.6810379  0.0638047457  0.0506559126
  83.1038666  0.0622345656  0.0479252525
  84.5514908  0.0606170185  0.0453451388
  86.0243225  0.0588984303  0.0429269597
  87.5228119  0.0571841002  0.0408083238
  89.0474014  0.0556932352  0.0388401113
  90.5985489  0.0543439537  0.0368136279
  92.1767197  0.0528041832  0.0347279571
  93.7823792  0.0512007438  0.0328897797
  95.416008  0.0496629775  0.0311713908
  97.0780945  0.0481615067  0.0295595676
  98.7691345  0.046745114  0.0280106105
  100.489624  0.0453354269  0.0264622141
  102.240089  0.0438780226  0.0249976218
  104.021049  0.0424276814  0.0236380119
  105.833031  0.0410149619  0.0223748591
  107.676582  0.0396852754  0.0211826824
  109.552238  0.0384097844  0.0199124031
  111.460571  0.0370170325  0.0186569914
  113.402138  0.0355558991  0.0175254513
  115.377533  0.0340551771  0.016509423
  117.387337  0.0325477421  0.0156693365
  119.432152  0.0311541036  0.0149710299
  121.512581  0.0298514143  0.0143233631
  123.62925  0.0286054425  0.013722159
  125.782799  0.027408421  0.0131639605
  127.973854  0.0262117125  0.0126505923
  130.203079  0.0250883717  0.0122600412
  132.47113  0.0240664668  0.0118917152
  134.778702  0.0231058728  0.0115409652
  137.12645  0.0221987963  0.011207005
  139.515106  0.0213408619  0.0108889099
  141.945374  0.0205345601  0.0105858352
  144.417969  0.0197772458  0.0102775628
  146.93364  0.0190408211  0.00995157752
  149.493134  0.0183142461  0.00963939819
  152.097198  0.0176025536  0.00934141874
  154.746643  0.0169090014  0.00906851701
  157.44223  0.0162414741  0.00881811138
  160.184769  0.0156031419  0.00858071074
  162.975098  0.0149930865  0.00835423637
  165.814026  0.0143916486  0.00812456571
  168.702393  0.0138074886  0.00793327391
  171.641083  0.0132582346  0.0077509908
  174.630966  0.0127333589  0.00757002737
  177.672913  0.0122142741  0.00738786114
  180.767868  0.0117055448  0.00723200385
  183.916733  0.0112238359  0.00709072268
  187.120438  0.0107588358  0.00695579406
  190.379959  0.0103118364  0.00683133025
  193.696259  0.0098776808  0.00671221968
  197.070328  0.00945415627  0.00661078375
  200.503159  0.00905460678  0.00652621174
  203.995804  0.00867413357  0.00644557411
  207.549271  0.00830762926  0.00637964811
  211.164673  0.0079642972  0.00632686913
  214.843018  0.00764473435  0.00627677562
  218.585449  0.00734222261  0.00622944254
  222.393066  0.00705316197  0.00618657144
  226.266998  0.00678032869  0.00615281938
  230.208435  0.00652757473  0.00612603966
  234.218521  0.00629385188  0.00610272121
  238.298462  0.00607866794  0.00608289242
  242.449463  0.00588328298  0.00606656773
  246.672791  0.00571531849  0.00605381001
  250.969681  0.00556616997  0.0060199704
  255.3414  0.0054228981  0.00597844832
  259.789307  0.00528627913  0.00593834743
  264.314667  0.00516601978  0.00590008404
  268.918854  0.00506593473  0.0058579701
  273.603241  0.00497431215  0.0057850359
  278.369232  0.0048742285  0.00570880296
  283.218231  0.00477345614  0.00563498912
  288.151733  0.00467590708  0.0055644582
  293.171143  0.00458457181  0.00549714314
  298.278015  0.00450135628  0.00543294894
  303.473816  0.00444157515  0.00537053682
  308.760132  0.00438972469  0.00528041786
  314.13855  0.00432482921  0.00518145179
  319.610657  0.00425477047  0.00508524245
  325.17807  0.00418414967  0.00499168178
  330.842468  0.004114924  0.00490071438
  336.60553  0.00404846808  0.0048121172
  342.468964  0.00398600008  0.00472456543
  348.43457  0.00392547343  0.00463678967
  354.504089  0.00386800501  0.00455141719
  360.679321  0.0038152542  0.00446836697
  366.962128  0.00377391628  0.00438341219
  373.35437  0.00373757118  0.0042866813
  379.857971  0.00369256712  0.00418499811
  386.474854  0.00364381261  0.00408580294
  393.20697  0.00359568605  0.00398901431
  400.056396  0.00355159119  0.00389324804
  407.025146  0.00350554078  0.00379161723
  414.115234  0.00345559558  0.00369210332
  421.328888  0.00340480823  0.0035963885
  428.668152  0.00335481972  0.00350329233
  436.135284  0.00330582028  0.00341295847
  443.732513  0.00326006534  0.00332593243
  451.462036  0.00321858842  0.00323844189
  459.326233  0.00317931967  0.00314710988
  467.327393  0.00313821714  0.00305472966
  475.467926  0.00309847784  0.0029641646
  483.750275  0.0030597453  0.00286901719
  492.17691  0.00301559339  0.00277159107
  500.750305  0.0029674354  0.00267686322
  509.473053  0.00291758287  0.00258534518
  518.347778  0.00286740181  0.00249658036
  527.377075  0.00281708757  0.00240958109
  536.563599  0.00276663806  0.00232317438
  545.910217  0.00271346676  0.00223793276
  555.419678  0.00265859463  0.00215569884
  565.094727  0.00260182261  0.00207631011
  574.938293  0.00254376372  0.00200218149
  584.953369  0.00248695863  0.00193347502
  595.142822  0.00243268046  0.0018679268
  605.509888  0.00238057994  0.00180451293
  616.057495  0.00233017397  0.00174313586
  626.788818  0.00228223368  0.00168366241
  637.707092  0.00223617721  0.00162385323
  648.815491  0.00219105766  0.00156232074
  660.117493  0.00214284426  0.00150219805
  671.616333  0.00209393399  0.00144493952
  683.31543  0.00204519648  0.00139095809
  695.218323  0.0019981782  0.0013396272
  707.328613  0.0019528647  0.00128986023
  719.64978  0.0019085767  0.00124104111
  732.185669  0.00186509395  0.00119376776
  744.93988  0.00182256091  0.00114715099
  757.91626  0.0017802387  0.00110141595
  771.118713  0.00173817645  0.00105732935
  784.551086  0.00169704494  0.00101470272
  798.217468  0.00165663799  0.00097271963
  812.121887  0.00161611463  0.000931493065
  826.268555  0.00157541712  0.000892005453
  840.661621  0.00153514638  0.00085415889
  855.30542  0.0014951732  0.00081777497
  870.204285  0.0014555396  0.000783517549
  885.362732  0.00141724874  0.000751589658
  900.785156  0.0013805991  0.0007209779
  916.476318  0.00134600431  0.000691631634
  932.440674  0.00131300732  0.000661469297
  948.683228  0.00128004455  0.000630816503
  965.208679  0.00124655012  0.000600780128
  982.021973  0.00121291145  0.000571994751
  999.128296  0.00117961457  0.000544494251
  1016.53247  0.00114699977  0.000518162327
  1034.23975  0.00111459824  0.000492158928
  1052.25549  0.00108229637  0.000467372913
  1070.58521  0.00105027645  0.00044376764
  1089.23413  0.00101869111  0.000421341858
  1108.20789  0.000987621839  0.000400045014
  1127.51208  0.000957120443  0.000379816687
  1147.15271  0.000927213463  0.000360603415
  1167.13525  0.000897923252  0.0003423577
  1187.46606  0.000869264593  0.000325029192
  1208.151  0.000841248722  0.000308574556
  1229.19629  0.000813889608  0.00029294967
  1250.60803  0.00078717561  0.000278073043
  1272.39282  0.000761105621  0.000263900292
  1294.55713  0.000735571724  0.000250392768
  1317.10754  0.000710613618  0.000237575223
  1340.05066  0.000686234096  0.000225410156
  1363.39343  0.000662419363  0.000213862397
  1387.14294  0.000639157428  0.000202903364
  1411.30615  0.000616431644  0.000192502965
  1435.89014  0.000594227284  0.000182633841
  1460.90234  0.000572534394  0.000173254375
  1486.35034  0.0005513262  0.00016431832
  1512.2417  0.000530504039  0.000155719492
  1538.58398  0.000509958132  0.000147517159
  1565.38513  0.000489647267  0.000139742231
  1592.6532  0.000469503779  0.000132374931
  1620.39624  0.000449402345  0.000125393868
  1648.62244  0.000429206033  0.000118777993
  1677.34033  0.000408652966  0.000112509399
  1706.55859  0.000387282227  0.000106571621
  1736.28577  0.000364118489  0.000100922691
  1766.53088  0.00033626295  9.55261712E-05
  1797.30261  0.000242378126  9.04016415E-05
  1828.6106  0.000270351506  0.000151126689
  1860.46387  0.000270606979  0.00014337305
  1892.87195  0.000278817985  0.000177884023
  1925.84448  0.00030232282  0.000167838793
  1959.39148  0.00030338674  0.000158361407
  1993.52283  0.000300543761  0.000149418294
  2028.24878  0.000295571168  0.000141022931
  2063.57959  0.000289262476  0.000133035355
  2099.52588  0.000282021007  0.000125494596
  2136.09814  0.000274001854  0.00011837927
  2173.30762  0.000265189708  0.000111660149
  2211.16528  0.000255573366  0.000105320141
  2249.68262  0.000244009469  9.9335979E-05
  2288.87061  0.000221594732  0.000104871782
  2328.74097  0.000228176679  9.87066014E-05
  2369.30615  0.000220210684  9.28994341E-05
  2410.57812  0.000209460981  8.7433662E-05
  2452.56885  0.000193876578  8.22855582E-05
  2495.29102  0.000176742527  0.000110085042
  2538.75757  0.000183319862  0.0001035811
  2582.98096  0.000149289495  0.000100980957
