 UO2 Density=10.96
 Energy(eV), Delta, Beta
  30.  0.259370506  0.425755799
  30.5225792  0.259604484  0.412956655
  31.054266  0.259355396  0.400454074
  31.5952091  0.25869143  0.388329566
  32.1455765  0.257704407  0.376573533
  32.7055321  0.256459534  0.365172923
  33.2752457  0.25500825  0.354118824
  33.8548775  0.253406495  0.343398809
  34.4446106  0.251712412  0.333003551
  35.0446129  0.24999322  0.322920531
  35.6550674  0.248383284  0.313143253
  36.2761536  0.247047842  0.303347051
  36.908062  0.24559848  0.293005466
  37.5509758  0.243459314  0.282843381
  38.2050934  0.241036445  0.273038626
  38.8706017  0.238461718  0.263579309
  39.5477028  0.235827282  0.254451722
  40.2365952  0.233230367  0.245645031
  40.9374924  0.230941087  0.237148002
  41.6506004  0.229115948  0.227985471
  42.3761292  0.226429015  0.218521923
  43.1142921  0.223155394  0.209414154
  43.8653145  0.219636485  0.200686842
  44.6294212  0.215960607  0.192323446
  45.4068375  0.212195277  0.184309289
  46.1977959  0.208405927  0.176629633
  47.0025291  0.204697609  0.169270724
  47.8212852  0.201114997  0.162005901
  48.6543007  0.197511226  0.154717103
  49.5018311  0.193695292  0.147468641
  50.3641205  0.189625129  0.140453994
  51.2414322  0.185419306  0.133772776
  52.1340256  0.181166992  0.127409697
  53.0421677  0.176923692  0.121349499
  53.9661293  0.172763228  0.115577646
  54.9061813  0.168837905  0.10999348
  55.8626137  0.164947897  0.104100294
  56.8357048  0.160673767  0.0983817577
  57.8257484  0.156233191  0.0929829106
  58.8330345  0.151741207  0.0878850222
  59.8578682  0.147238672  0.0830714554
  60.9005585  0.142755419  0.0785258114
  61.9614029  0.138316438  0.0742331445
  63.0407295  0.133944452  0.0701790601
  64.1388626  0.129686549  0.0663501769
  65.2561188  0.125684097  0.062627703
  66.3928375  0.121576965  0.0588003993
  67.5493622  0.117330655  0.0551911369
  68.7260284  0.113077223  0.0518145375
  69.9231949  0.108860299  0.0486559607
  71.1412125  0.104730286  0.0457053967
  72.3804474  0.100716591  0.042865999
  73.6412659  0.0967059433  0.0400541872
  74.9240494  0.0926564485  0.0374171957
  76.2291794  0.0886493474  0.0349695906
  77.557045  0.0847816393  0.0326966643
  78.9080353  0.0812297985  0.0302311536
  80.2825623  0.077324301  0.02753032
  81.6810379  0.0730404779  0.0250580162
  83.1038666  0.0685689971  0.0227547996
  84.5514908  0.0638607219  0.0207185093
  86.0243225  0.0589364097  0.0190265924
  87.5228119  0.054027088  0.0177291464
  89.0474014  0.0490040183  0.0165776834
  90.5985489  0.0437270664  0.0156502984
  92.1767197  0.0380647704  0.0149001582
  93.7823792  0.0314817242  0.0143830525
  95.416008  0.0224803109  0.0152346781
  97.0780945  0.0121848807  0.0204018429
  98.7691345  0.00575013272  0.0348901004
  100.489624  0.0217934232  0.04765331
  102.240089  0.0297702774  0.0388017297
  104.021049  0.0260021798  0.029341504
  105.833031  0.0189626366  0.0265612397
  107.676582  0.0105524827  0.0248459
  109.552238 -0.000482437725  0.0238978472
  111.460571 -0.029661946  0.0348414183
  113.402138 -0.0553719103  0.121534042
  115.377533 -0.00551032927  0.125929743
  117.387337  0.035203997  0.117025286
  119.432152  0.0558401905  0.0984915271
  121.512581  0.0631571263  0.0828254074
  123.62925  0.0670315847  0.0710249618
  125.782799  0.0686209723  0.060270153
  127.973854  0.0681303144  0.0510039963
  130.203079  0.066277422  0.0432098806
  132.47113  0.0633584261  0.0366817676
  134.778702  0.0591748022  0.0321439058
  137.12645  0.0562848933  0.0294813681
  139.515106  0.0539931916  0.0270428881
  141.945374  0.0519634001  0.0248095803
  144.417969  0.0500836559  0.022763975
  146.93364  0.0483078808  0.0208898615
  149.493134  0.0466179848  0.0191729572
  152.097198  0.0450275615  0.0175789315
  154.746643  0.0434680656  0.0160515234
  157.44223  0.0419079624  0.0146349221
  160.184769  0.0403701402  0.0133464988
  162.975098  0.0388681814  0.0121746659
  165.814026  0.0374093279  0.0111089563
  168.702393  0.0360027961  0.0101390202
  171.641083  0.0346680805  0.00924283452
  174.630966  0.0333616659  0.00836211909
  177.672913  0.0320521593  0.00755323935
  180.767868  0.0307690874  0.00682442542
  183.916733  0.029518133  0.00616079569
  187.120438  0.028294256  0.00555821136
  190.379959  0.0270995814  0.00501633808
  193.696259  0.0259168968  0.00452901423
  197.070328  0.0247706436  0.00415151985
  200.503159  0.0237090755  0.0038385184
  203.995804  0.0227170493  0.00355199841
  207.549271  0.0217780489  0.00328702363
  211.164673  0.0208843164  0.00304187858
  214.843018  0.0200309642  0.00281518442
  218.585449  0.0192143079  0.00260545127
  222.393066  0.0184313469  0.00241145073
  226.266998  0.0176795498  0.00223314366
  230.208435  0.0169581696  0.00207016035
  234.218521  0.0162655637  0.00191948097
