Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 1.011E+02 6.394E-01 5.300E+04 5.310E+04 5.300E+04 
1.500E-03 9.140E+01 1.110E+00 1.793E+04 1.802E+04 1.793E+04 
1.560E-03 9.026E+01 1.162E+00 1.613E+04 1.622E+04 1.613E+04 
1.560E-03 9.026E+01 1.162E+00 1.772E+05 1.773E+05 1.772E+05 
2.000E-03 8.236E+01 1.512E+00 1.013E+05 1.014E+05 1.013E+05 
3.000E-03 6.822E+01 2.120E+00 3.524E+04 3.531E+04 3.524E+04 
4.000E-03 5.804E+01 2.603E+00 1.609E+04 1.615E+04 1.609E+04 
5.000E-03 4.998E+01 3.041E+00 8.612E+03 8.665E+03 8.615E+03 
6.000E-03 4.318E+01 3.448E+00 5.119E+03 5.166E+03 5.122E+03 
8.000E-03 3.239E+01 4.163E+00 2.218E+03 2.255E+03 2.222E+03 
1.000E-02 2.470E+01 4.740E+00 1.145E+03 1.174E+03 1.150E+03 
1.500E-02 1.405E+01 5.668E+00 3.367E+02 3.564E+02 3.424E+02 
2.000E-02 9.166E+00 6.142E+00 1.389E+02 1.542E+02 1.450E+02 
3.000E-02 4.908E+00 6.561E+00 3.908E+01 5.055E+01 4.564E+01 
4.000E-02 3.073E+00 6.695E+00 1.570E+01 2.547E+01 2.239E+01 
5.000E-02 2.096E+00 6.702E+00 7.696E+00 1.649E+01 1.440E+01 
6.000E-02 1.517E+00 6.645E+00 4.285E+00 1.245E+01 1.093E+01 
8.000E-02 8.982E-01 6.447E+00 1.695E+00 9.040E+00 8.142E+00 
1.000E-01 5.930E-01 6.218E+00 8.245E-01 7.636E+00 7.043E+00 
1.500E-01 2.743E-01 5.678E+00 2.237E-01 6.176E+00 5.902E+00 
2.000E-01 1.570E-01 5.233E+00 8.970E-02 5.480E+00 5.323E+00 
3.000E-01 7.078E-02 4.573E+00 2.573E-02 4.670E+00 4.599E+00 
4.000E-01 4.003E-02 4.105E+00 1.111E-02 4.156E+00 4.116E+00 
5.000E-01 2.568E-02 3.752E+00 6.021E-03 3.784E+00 3.758E+00 
6.000E-01 1.786E-02 3.474E+00 3.764E-03 3.496E+00 3.478E+00 
8.000E-01 1.006E-02 3.053E+00 1.905E-03 3.065E+00 3.055E+00 
1.000E+00 6.443E-03 2.746E+00 1.184E-03 2.754E+00 2.747E+00 
