Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 2.152E+01 2.519E-01 4.407E+04 4.409E+04 4.407E+04 
1.500E-03 1.912E+01 5.001E-01 1.395E+04 1.397E+04 1.395E+04 
2.000E-03 1.659E+01 7.702E-01 6.017E+03 6.034E+03 6.018E+03 
3.000E-03 1.222E+01 1.278E+00 1.788E+03 1.801E+03 1.789E+03 
4.000E-03 9.179E+00 1.685E+00 7.427E+02 7.536E+02 7.444E+02 
5.000E-03 7.170E+00 1.984E+00 3.721E+02 3.813E+02 3.741E+02 
6.000E-03 5.819E+00 2.202E+00 2.103E+02 2.183E+02 2.125E+02 
8.000E-03 4.181E+00 2.497E+00 8.459E+01 9.127E+01 8.709E+01 
1.000E-02 3.232E+00 2.697E+00 4.140E+01 4.733E+01 4.410E+01 
1.500E-02 1.952E+00 3.012E+00 1.114E+01 1.610E+01 1.415E+01 
2.000E-02 1.292E+00 3.182E+00 4.341E+00 8.815E+00 7.523E+00 
3.000E-02 6.711E-01 3.300E+00 1.138E+00 5.109E+00 4.438E+00 
4.000E-02 4.079E-01 3.296E+00 4.374E-01 4.141E+00 3.733E+00 
5.000E-02 2.734E-01 3.250E+00 2.079E-01 3.731E+00 3.458E+00 
6.000E-02 1.956E-01 3.188E+00 1.131E-01 3.497E+00 3.301E+00 
8.000E-02 1.139E-01 3.054E+00 4.327E-02 3.211E+00 3.097E+00 
1.000E-01 7.418E-02 2.924E+00 2.057E-02 3.019E+00 2.945E+00 
1.500E-01 3.360E-02 2.647E+00 5.397E-03 2.686E+00 2.652E+00 
2.000E-01 1.903E-02 2.431E+00 2.121E-03 2.452E+00 2.433E+00 
3.000E-01 8.504E-03 2.118E+00 5.944E-04 2.127E+00 2.119E+00 
4.000E-01 4.792E-03 1.899E+00 2.536E-04 1.904E+00 1.899E+00 
5.000E-01 3.070E-03 1.735E+00 1.364E-04 1.738E+00 1.735E+00 
6.000E-01 2.133E-03 1.605E+00 8.482E-05 1.607E+00 1.605E+00 
8.000E-01 1.200E-03 1.410E+00 4.277E-05 1.411E+00 1.410E+00 
1.000E+00 7.682E-04 1.268E+00 2.659E-05 1.269E+00 1.268E+00 
