Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 1.461E+03 1.004E+00 1.371E+06 1.372E+06 1.371E+06 
1.500E-03 1.388E+03 1.808E+00 5.457E+05 5.471E+05 5.457E+05 
2.000E-03 1.306E+03 2.585E+00 2.737E+05 2.750E+05 2.737E+05 
3.000E-03 1.140E+03 4.044E+00 9.990E+04 1.010E+05 9.990E+04 
3.537E-03 1.056E+03 4.784E+00 6.568E+04 6.674E+04 6.568E+04 
3.537E-03 1.056E+03 4.784E+00 2.140E+05 2.151E+05 2.140E+05 
3.631E-03 1.042E+03 4.909E+00 2.007E+05 2.017E+05 2.007E+05 
3.727E-03 1.028E+03 5.037E+00 1.881E+05 1.891E+05 1.881E+05 
3.727E-03 1.028E+03 5.037E+00 2.583E+05 2.593E+05 2.583E+05 
4.000E-03 9.880E+02 5.395E+00 2.173E+05 2.183E+05 2.173E+05 
4.018E-03 9.854E+02 5.418E+00 2.149E+05 2.159E+05 2.149E+05 
4.018E-03 9.854E+02 5.418E+00 2.466E+05 2.476E+05 2.466E+05 
5.000E-03 8.577E+02 6.635E+00 1.426E+05 1.435E+05 1.426E+05 
6.000E-03 7.494E+02 7.783E+00 8.871E+04 8.947E+04 8.872E+04 
8.000E-03 5.888E+02 9.849E+00 4.147E+04 4.207E+04 4.148E+04 
1.000E-02 4.796E+02 1.160E+01 2.273E+04 2.322E+04 2.274E+04 
1.500E-02 3.149E+02 1.475E+01 7.469E+03 7.799E+03 7.484E+03 
2.000E-02 2.195E+02 1.679E+01 3.348E+03 3.584E+03 3.365E+03 
2.671E-02 1.460E+02 1.861E+01 1.480E+03 1.645E+03 1.499E+03 
2.671E-02 1.460E+02 1.861E+01 9.289E+03 9.454E+03 9.308E+03 
3.000E-02 1.234E+02 1.924E+01 6.885E+03 7.028E+03 6.904E+03 
4.000E-02 8.060E+01 2.052E+01 3.217E+03 3.318E+03 3.238E+03 
5.000E-02 5.697E+01 2.119E+01 1.747E+03 1.825E+03 1.768E+03 
6.000E-02 4.225E+01 2.150E+01 1.052E+03 1.116E+03 1.074E+03 
8.000E-02 2.582E+01 2.153E+01 4.662E+02 5.136E+02 4.877E+02 
1.000E-01 1.748E+01 2.118E+01 2.458E+02 2.845E+02 2.670E+02 
1.500E-01 8.484E+00 1.990E+01 7.602E+01 1.044E+02 9.592E+01 
2.000E-01 4.999E+00 1.862E+01 3.310E+01 5.672E+01 5.172E+01 
3.000E-01 2.322E+00 1.652E+01 1.048E+01 2.932E+01 2.700E+01 
4.000E-01 1.335E+00 1.494E+01 4.796E+00 2.107E+01 1.974E+01 
5.000E-01 8.650E-01 1.371E+01 2.691E+00 1.727E+01 1.640E+01 
6.000E-01 6.055E-01 1.273E+01 1.718E+00 1.505E+01 1.445E+01 
8.000E-01 3.437E-01 1.122E+01 8.870E-01 1.245E+01 1.211E+01 
1.000E+00 2.210E-01 1.010E+01 5.535E-01 1.087E+01 1.065E+01 
