Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 2.933E+03 1.393E+00 7.602E+05 7.631E+05 7.602E+05 
1.187E-03 2.886E+03 1.732E+00 5.433E+05 5.462E+05 5.433E+05 
1.409E-03 2.829E+03 2.139E+00 3.882E+05 3.910E+05 3.882E+05 
1.409E-03 2.829E+03 2.139E+00 5.636E+05 5.664E+05 5.636E+05 
1.431E-03 2.823E+03 2.179E+00 8.231E+05 8.260E+05 8.231E+05 
1.453E-03 2.817E+03 2.219E+00 1.200E+06 1.203E+06 1.200E+06 
1.453E-03 2.817E+03 2.219E+00 1.350E+06 1.353E+06 1.350E+06 
1.500E-03 2.804E+03 2.304E+00 1.683E+06 1.686E+06 1.683E+06 
1.812E-03 2.721E+03 2.863E+00 1.064E+06 1.067E+06 1.064E+06 
1.812E-03 2.721E+03 2.863E+00 1.234E+06 1.237E+06 1.234E+06 
2.000E-03 2.668E+03 3.202E+00 9.758E+05 9.785E+05 9.758E+05 
2.006E-03 2.666E+03 3.212E+00 9.692E+05 9.719E+05 9.692E+05 
2.006E-03 2.666E+03 3.212E+00 1.030E+06 1.033E+06 1.030E+06 
2.104E-03 2.636E+03 3.385E+00 9.241E+05 9.268E+05 9.241E+05 
2.206E-03 2.609E+03 3.572E+00 8.293E+05 8.319E+05 8.293E+05 
2.206E-03 2.609E+03 3.572E+00 8.658E+05 8.684E+05 8.658E+05 
3.000E-03 2.392E+03 4.984E+00 4.215E+05 4.239E+05 4.215E+05 
4.000E-03 2.127E+03 6.660E+00 2.086E+05 2.107E+05 2.086E+05 
5.000E-03 1.886E+03 8.206E+00 1.192E+05 1.211E+05 1.192E+05 
6.000E-03 1.677E+03 9.611E+00 7.489E+04 7.658E+04 7.490E+04 
8.000E-03 1.342E+03 1.204E+01 3.559E+04 3.694E+04 3.560E+04 
8.358E-03 1.292E+03 1.243E+01 3.175E+04 3.305E+04 3.176E+04 
8.358E-03 1.292E+03 1.243E+01 8.551E+04 8.681E+04 8.552E+04 
8.799E-03 1.234E+03 1.290E+01 7.478E+04 7.603E+04 7.479E+04 
9.264E-03 1.177E+03 1.338E+01 6.540E+04 6.659E+04 6.541E+04 
9.264E-03 1.177E+03 1.338E+01 8.966E+04 9.085E+04 8.967E+04 
9.505E-03 1.148E+03 1.361E+01 8.418E+04 8.535E+04 8.420E+04 
9.751E-03 1.120E+03 1.385E+01 7.903E+04 8.016E+04 7.904E+04 
9.751E-03 1.120E+03 1.385E+01 9.135E+04 9.248E+04 9.136E+04 
1.000E-02 1.093E+03 1.409E+01 8.580E+04 8.691E+04 8.581E+04 
1.500E-02 7.052E+02 1.816E+01 3.000E+04 3.072E+04 3.002E+04 
2.000E-02 5.007E+02 2.120E+01 1.393E+04 1.445E+04 1.395E+04 
3.000E-02 2.956E+02 2.505E+01 4.623E+03 4.944E+03 4.648E+03 
4.000E-02 1.933E+02 2.710E+01 2.089E+03 2.309E+03 2.116E+03 
5.000E-02 1.367E+02 2.822E+01 1.122E+03 1.287E+03 1.150E+03 
5.749E-02 1.098E+02 2.871E+01 7.593E+02 8.978E+02 7.880E+02 
5.749E-02 1.098E+02 2.871E+01 4.065E+03 4.204E+03 4.094E+03 
6.000E-02 1.026E+02 2.882E+01 3.651E+03 3.782E+03 3.680E+03 
8.000E-02 6.432E+01 2.917E+01 1.706E+03 1.799E+03 1.735E+03 
1.000E-01 4.394E+01 2.895E+01 9.348E+02 1.008E+03 9.638E+02 
1.500E-01 2.143E+01 2.752E+01 3.080E+02 3.569E+02 3.355E+02 
2.000E-01 1.276E+01 2.590E+01 1.395E+02 1.782E+02 1.654E+02 
3.000E-01 6.032E+00 2.312E+01 4.650E+01 7.565E+01 6.962E+01 
4.000E-01 3.497E+00 2.098E+01 2.195E+01 4.643E+01 4.293E+01 
5.000E-01 2.278E+00 1.930E+01 1.258E+01 3.416E+01 3.188E+01 
6.000E-01 1.601E+00 1.794E+01 8.144E+00 2.769E+01 2.608E+01 
8.000E-01 9.134E-01 1.584E+01 4.268E+00 2.102E+01 2.011E+01 
1.000E+00 5.894E-01 1.428E+01 2.677E+00 1.755E+01 1.696E+01 
