Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 3.206E+03 1.378E+00 9.227E+05 9.259E+05 9.227E+05 
1.500E-03 3.069E+03 2.311E+00 4.107E+05 4.138E+05 4.107E+05 
1.588E-03 3.043E+03 2.474E+00 3.643E+05 3.673E+05 3.643E+05 
1.588E-03 3.043E+03 2.474E+00 4.530E+05 4.560E+05 4.530E+05 
1.614E-03 3.036E+03 2.520E+00 6.693E+05 6.723E+05 6.693E+05 
1.639E-03 3.028E+03 2.566E+00 9.865E+05 9.895E+05 9.865E+05 
1.639E-03 3.028E+03 2.566E+00 1.131E+06 1.134E+06 1.131E+06 
2.000E-03 2.924E+03 3.209E+00 1.000E+06 1.003E+06 1.000E+06 
2.024E-03 2.916E+03 3.251E+00 9.710E+05 9.739E+05 9.710E+05 
2.024E-03 2.916E+03 3.251E+00 1.127E+06 1.130E+06 1.127E+06 
2.140E-03 2.879E+03 3.459E+00 9.844E+05 9.873E+05 9.844E+05 
2.263E-03 2.844E+03 3.680E+00 8.599E+05 8.627E+05 8.599E+05 
2.263E-03 2.844E+03 3.680E+00 9.139E+05 9.167E+05 9.139E+05 
2.375E-03 2.814E+03 3.880E+00 8.181E+05 8.209E+05 8.181E+05 
2.491E-03 2.783E+03 4.089E+00 7.326E+05 7.354E+05 7.326E+05 
2.491E-03 2.783E+03 4.089E+00 7.644E+05 7.672E+05 7.644E+05 
3.000E-03 2.632E+03 4.979E+00 4.942E+05 4.968E+05 4.942E+05 
4.000E-03 2.353E+03 6.656E+00 2.463E+05 2.487E+05 2.463E+05 
5.000E-03 2.097E+03 8.219E+00 1.413E+05 1.434E+05 1.413E+05 
6.000E-03 1.871E+03 9.654E+00 8.902E+04 9.090E+04 8.903E+04 
8.000E-03 1.504E+03 1.215E+01 4.246E+04 4.398E+04 4.247E+04 
9.244E-03 1.324E+03 1.350E+01 2.913E+04 3.047E+04 2.914E+04 
9.244E-03 1.324E+03 1.350E+01 7.720E+04 7.854E+04 7.721E+04 
1.000E-02 1.229E+03 1.426E+01 6.299E+04 6.423E+04 6.300E+04 
1.035E-02 1.188E+03 1.460E+01 5.746E+04 5.866E+04 5.747E+04 
1.035E-02 1.188E+03 1.460E+01 7.892E+04 8.012E+04 7.893E+04 
1.061E-02 1.159E+03 1.484E+01 7.433E+04 7.550E+04 7.434E+04 
1.087E-02 1.131E+03 1.509E+01 7.002E+04 7.117E+04 7.004E+04 
1.087E-02 1.131E+03 1.509E+01 8.095E+04 8.210E+04 8.097E+04 
1.500E-02 7.925E+02 1.845E+01 3.541E+04 3.622E+04 3.543E+04 
2.000E-02 5.602E+02 2.159E+01 1.651E+04 1.709E+04 1.653E+04 
3.000E-02 3.310E+02 2.569E+01 5.522E+03 5.879E+03 5.548E+03 
4.000E-02 2.173E+02 2.793E+01 2.507E+03 2.752E+03 2.535E+03 
5.000E-02 1.536E+02 2.916E+01 1.351E+03 1.534E+03 1.380E+03 
6.000E-02 1.151E+02 2.983E+01 8.128E+02 9.577E+02 8.426E+02 
6.331E-02 1.056E+02 2.996E+01 6.994E+02 8.350E+02 7.294E+02 
6.331E-02 1.056E+02 2.996E+01 3.657E+03 3.793E+03 3.687E+03 
8.000E-02 7.227E+01 3.025E+01 1.978E+03 2.081E+03 2.008E+03 
1.000E-01 4.950E+01 3.005E+01 1.092E+03 1.172E+03 1.122E+03 
1.500E-01 2.417E+01 2.863E+01 3.637E+02 4.165E+02 3.923E+02 
2.000E-01 1.440E+01 2.697E+01 1.658E+02 2.072E+02 1.928E+02 
3.000E-01 6.821E+00 2.410E+01 5.568E+01 8.660E+01 7.978E+01 
4.000E-01 3.961E+00 2.188E+01 2.642E+01 5.226E+01 4.830E+01 
5.000E-01 2.582E+00 2.013E+01 1.519E+01 3.790E+01 3.532E+01 
6.000E-01 1.816E+00 1.872E+01 9.858E+00 3.039E+01 2.858E+01 
8.000E-01 1.037E+00 1.653E+01 5.179E+00 2.275E+01 2.171E+01 
1.000E+00 6.694E-01 1.490E+01 3.251E+00 1.882E+01 1.815E+01 
