Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 3.003E+01 2.560E-01 7.699E+04 7.702E+04 7.699E+04 
1.500E-03 2.734E+01 5.198E-01 2.515E+04 2.518E+04 2.515E+04 
2.000E-03 2.432E+01 8.165E-01 1.107E+04 1.110E+04 1.107E+04 
3.000E-03 1.861E+01 1.392E+00 3.367E+03 3.387E+03 3.368E+03 
4.000E-03 1.421E+01 1.866E+00 1.418E+03 1.434E+03 1.420E+03 
5.000E-03 1.110E+01 2.225E+00 7.180E+02 7.313E+02 7.202E+02 
6.000E-03 8.927E+00 2.494E+00 4.092E+02 4.206E+02 4.117E+02 
8.000E-03 6.246E+00 2.858E+00 1.667E+02 1.758E+02 1.696E+02 
1.000E-02 4.722E+00 3.093E+00 8.241E+01 9.022E+01 8.550E+01 
1.500E-02 2.805E+00 3.449E+00 2.250E+01 2.875E+01 2.595E+01 
2.000E-02 1.870E+00 3.645E+00 8.856E+00 1.437E+01 1.250E+01 
3.000E-02 9.839E-01 3.800E+00 2.348E+00 7.132E+00 6.148E+00 
4.000E-02 6.009E-01 3.811E+00 9.087E-01 5.321E+00 4.720E+00 
5.000E-02 4.042E-01 3.766E+00 4.340E-01 4.604E+00 4.200E+00 
6.000E-02 2.901E-01 3.700E+00 2.369E-01 4.227E+00 3.937E+00 
8.000E-02 1.697E-01 3.551E+00 9.114E-02 3.812E+00 3.642E+00 
1.000E-01 1.109E-01 3.403E+00 4.347E-02 3.557E+00 3.446E+00 
1.500E-01 5.046E-02 3.085E+00 1.144E-02 3.147E+00 3.096E+00 
2.000E-01 2.863E-02 2.834E+00 4.516E-03 2.867E+00 2.839E+00 
3.000E-01 1.281E-02 2.470E+00 1.270E-03 2.484E+00 2.471E+00 
4.000E-01 7.221E-03 2.215E+00 5.428E-04 2.223E+00 2.216E+00 
5.000E-01 4.626E-03 2.023E+00 2.922E-04 2.028E+00 2.023E+00 
6.000E-01 3.215E-03 1.872E+00 1.819E-04 1.875E+00 1.872E+00 
8.000E-01 1.809E-03 1.645E+00 9.177E-05 1.647E+00 1.645E+00 
1.000E+00 1.158E-03 1.479E+00 5.704E-05 1.480E+00 1.479E+00 
