Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 2.252E+03 1.513E+00 1.585E+06 1.587E+06 1.585E+06 
1.002E-03 2.251E+03 1.518E+00 1.622E+06 1.624E+06 1.622E+06 
1.005E-03 2.250E+03 1.523E+00 1.658E+06 1.660E+06 1.658E+06 
1.005E-03 2.250E+03 1.523E+00 2.039E+06 2.041E+06 2.039E+06 
1.142E-03 2.212E+03 1.786E+00 1.701E+06 1.703E+06 1.701E+06 
1.297E-03 2.181E+03 2.073E+00 1.419E+06 1.421E+06 1.419E+06 
1.297E-03 2.181E+03 2.073E+00 1.634E+06 1.636E+06 1.634E+06 
1.349E-03 2.169E+03 2.169E+00 1.498E+06 1.501E+06 1.498E+06 
1.403E-03 2.155E+03 2.270E+00 1.374E+06 1.376E+06 1.374E+06 
1.403E-03 2.155E+03 2.270E+00 1.457E+06 1.459E+06 1.457E+06 
1.500E-03 2.130E+03 2.452E+00 1.261E+06 1.263E+06 1.261E+06 
1.575E-03 2.111E+03 2.592E+00 1.133E+06 1.135E+06 1.133E+06 
1.575E-03 2.111E+03 2.592E+00 1.184E+06 1.186E+06 1.184E+06 
2.000E-03 2.006E+03 3.369E+00 6.874E+05 6.894E+05 6.874E+05 
3.000E-03 1.766E+03 5.141E+00 2.601E+05 2.619E+05 2.601E+05 
4.000E-03 1.548E+03 6.778E+00 1.270E+05 1.286E+05 1.270E+05 
5.000E-03 1.361E+03 8.259E+00 7.196E+04 7.333E+04 7.197E+04 
6.000E-03 1.204E+03 9.571E+00 4.494E+04 4.615E+04 4.495E+04 
6.208E-03 1.175E+03 9.825E+00 4.113E+04 4.231E+04 4.114E+04 
6.208E-03 1.175E+03 9.825E+00 1.160E+05 1.172E+05 1.160E+05 
6.460E-03 1.140E+03 1.013E+01 1.050E+05 1.061E+05 1.050E+05 
6.722E-03 1.106E+03 1.043E+01 9.501E+04 9.613E+04 9.502E+04 
6.722E-03 1.106E+03 1.043E+01 1.296E+05 1.307E+05 1.296E+05 
6.921E-03 1.081E+03 1.065E+01 1.205E+05 1.216E+05 1.205E+05 
7.126E-03 1.057E+03 1.087E+01 1.121E+05 1.132E+05 1.121E+05 
7.126E-03 1.057E+03 1.087E+01 1.294E+05 1.305E+05 1.294E+05 
8.000E-03 9.601E+02 1.179E+01 9.709E+04 9.806E+04 9.710E+04 
1.000E-02 7.818E+02 1.365E+01 5.429E+04 5.509E+04 5.430E+04 
1.500E-02 5.102E+02 1.735E+01 1.845E+04 1.898E+04 1.847E+04 
2.000E-02 3.663E+02 1.996E+01 8.437E+03 8.823E+03 8.457E+03 
3.000E-02 2.135E+02 2.306E+01 2.749E+03 2.986E+03 2.772E+03 
4.000E-02 1.389E+02 2.468E+01 1.228E+03 1.392E+03 1.253E+03 
4.357E-02 1.220E+02 2.506E+01 9.650E+02 1.112E+03 9.901E+02 
4.357E-02 1.220E+02 2.506E+01 5.519E+03 5.666E+03 5.544E+03 
5.000E-02 9.865E+01 2.556E+01 3.827E+03 3.951E+03 3.853E+03 
6.000E-02 7.408E+01 2.601E+01 2.373E+03 2.473E+03 2.399E+03 
8.000E-02 4.606E+01 2.621E+01 1.087E+03 1.159E+03 1.113E+03 
1.000E-01 3.129E+01 2.592E+01 5.865E+02 6.437E+02 6.124E+02 
1.500E-01 1.524E+01 2.452E+01 1.883E+02 2.281E+02 2.128E+02 
2.000E-01 9.050E+00 2.302E+01 8.397E+01 1.160E+02 1.070E+02 
3.000E-01 4.250E+00 2.050E+01 2.742E+01 5.217E+01 4.792E+01 
4.000E-01 2.454E+00 1.858E+01 1.278E+01 3.381E+01 3.136E+01 
5.000E-01 1.596E+00 1.708E+01 7.261E+00 2.594E+01 2.434E+01 
6.000E-01 1.119E+00 1.586E+01 4.673E+00 2.165E+01 2.053E+01 
8.000E-01 6.375E-01 1.400E+01 2.433E+00 1.707E+01 1.643E+01 
1.000E+00 4.107E-01 1.261E+01 1.522E+00 1.454E+01 1.413E+01 
