Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 1.179E+02 6.141E-01 7.310E+04 7.322E+04 7.310E+04 
1.500E-03 1.066E+02 1.116E+00 2.487E+04 2.498E+04 2.487E+04 
1.839E-03 9.893E+01 1.437E+00 1.432E+04 1.442E+04 1.432E+04 
1.839E-03 9.893E+01 1.437E+00 1.488E+05 1.489E+05 1.488E+05 
2.000E-03 9.553E+01 1.580E+00 1.294E+05 1.295E+05 1.294E+05 
3.000E-03 7.783E+01 2.314E+00 4.555E+04 4.563E+04 4.555E+04 
4.000E-03 6.548E+01 2.861E+00 2.105E+04 2.112E+04 2.105E+04 
5.000E-03 5.635E+01 3.316E+00 1.137E+04 1.143E+04 1.137E+04 
6.000E-03 4.902E+01 3.723E+00 6.802E+03 6.855E+03 6.806E+03 
8.000E-03 3.749E+01 4.434E+00 2.975E+03 3.017E+03 2.979E+03 
1.000E-02 2.902E+01 5.020E+00 1.546E+03 1.580E+03 1.551E+03 
1.500E-02 1.672E+01 6.010E+00 4.593E+02 4.820E+02 4.653E+02 
2.000E-02 1.092E+01 6.538E+00 1.907E+02 2.082E+02 1.972E+02 
3.000E-02 5.852E+00 7.002E+00 5.413E+01 6.698E+01 6.113E+01 
4.000E-02 3.678E+00 7.155E+00 2.186E+01 3.269E+01 2.902E+01 
5.000E-02 2.518E+00 7.172E+00 1.076E+01 2.045E+01 1.793E+01 
6.000E-02 1.827E+00 7.118E+00 6.009E+00 1.495E+01 1.313E+01 
8.000E-02 1.084E+00 6.918E+00 2.388E+00 1.039E+01 9.306E+00 
1.000E-01 7.167E-01 6.678E+00 1.165E+00 8.560E+00 7.843E+00 
1.500E-01 3.323E-01 6.105E+00 3.174E-01 6.755E+00 6.422E+00 
2.000E-01 1.905E-01 5.630E+00 1.276E-01 5.948E+00 5.758E+00 
3.000E-01 8.599E-02 4.922E+00 3.676E-02 5.045E+00 4.959E+00 
4.000E-01 4.866E-02 4.419E+00 1.590E-02 4.484E+00 4.435E+00 
5.000E-01 3.123E-02 4.040E+00 8.624E-03 4.080E+00 4.049E+00 
6.000E-01 2.172E-02 3.740E+00 5.393E-03 3.767E+00 3.745E+00 
8.000E-01 1.224E-02 3.288E+00 2.730E-03 3.303E+00 3.291E+00 
1.000E+00 7.837E-03 2.957E+00 1.697E-03 2.967E+00 2.959E+00 
