Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 1.706E+03 1.005E+00 1.785E+06 1.787E+06 1.785E+06 
1.003E-03 1.706E+03 1.010E+00 1.774E+06 1.776E+06 1.774E+06 
1.006E-03 1.705E+03 1.015E+00 1.763E+06 1.765E+06 1.763E+06 
1.006E-03 1.705E+03 1.015E+00 1.838E+06 1.840E+06 1.838E+06 
1.500E-03 1.612E+03 1.896E+00 7.628E+05 7.644E+05 7.628E+05 
2.000E-03 1.509E+03 2.809E+00 3.867E+05 3.882E+05 3.867E+05 
3.000E-03 1.313E+03 4.527E+00 1.426E+05 1.439E+05 1.426E+05 
4.000E-03 1.145E+03 6.029E+00 6.871E+04 6.986E+04 6.872E+04 
4.341E-03 1.094E+03 6.491E+00 5.565E+04 5.675E+04 5.566E+04 
4.341E-03 1.094E+03 6.491E+00 1.659E+05 1.670E+05 1.659E+05 
4.475E-03 1.075E+03 6.667E+00 1.563E+05 1.574E+05 1.563E+05 
4.612E-03 1.056E+03 6.845E+00 1.472E+05 1.483E+05 1.472E+05 
4.612E-03 1.056E+03 6.845E+00 1.991E+05 2.002E+05 1.991E+05 
4.773E-03 1.034E+03 7.050E+00 1.839E+05 1.849E+05 1.839E+05 
4.939E-03 1.011E+03 7.258E+00 1.698E+05 1.708E+05 1.698E+05 
4.939E-03 1.011E+03 7.258E+00 1.959E+05 1.969E+05 1.959E+05 
5.000E-03 1.003E+03 7.333E+00 1.900E+05 1.910E+05 1.900E+05 
6.000E-03 8.836E+02 8.499E+00 1.203E+05 1.212E+05 1.203E+05 
8.000E-03 6.971E+02 1.056E+01 5.654E+04 5.725E+04 5.655E+04 
1.000E-02 5.660E+02 1.234E+01 3.123E+04 3.181E+04 3.124E+04 
1.500E-02 3.730E+02 1.572E+01 1.037E+04 1.076E+04 1.039E+04 
2.000E-02 2.645E+02 1.793E+01 4.678E+03 4.960E+03 4.696E+03 
3.000E-02 1.498E+02 2.055E+01 1.499E+03 1.669E+03 1.520E+03 
3.181E-02 1.375E+02 2.086E+01 1.269E+03 1.427E+03 1.290E+03 
3.181E-02 1.375E+02 2.086E+01 7.723E+03 7.881E+03 7.744E+03 
4.000E-02 9.768E+01 2.193E+01 4.255E+03 4.375E+03 4.277E+03 
5.000E-02 6.935E+01 2.267E+01 2.334E+03 2.426E+03 2.357E+03 
6.000E-02 5.171E+01 2.303E+01 1.417E+03 1.492E+03 1.440E+03 
8.000E-02 3.175E+01 2.311E+01 6.348E+02 6.897E+02 6.579E+02 
1.000E-01 2.150E+01 2.278E+01 3.373E+02 3.816E+02 3.601E+02 
1.500E-01 1.045E+01 2.145E+01 1.057E+02 1.376E+02 1.272E+02 
2.000E-01 6.179E+00 2.010E+01 4.637E+01 7.265E+01 6.647E+01 
3.000E-01 2.880E+00 1.785E+01 1.484E+01 3.557E+01 3.269E+01 
4.000E-01 1.658E+00 1.616E+01 6.831E+00 2.465E+01 2.299E+01 
5.000E-01 1.075E+00 1.484E+01 3.849E+00 1.976E+01 1.869E+01 
6.000E-01 7.535E-01 1.378E+01 2.464E+00 1.700E+01 1.624E+01 
8.000E-01 4.282E-01 1.215E+01 1.275E+00 1.385E+01 1.343E+01 
1.000E+00 2.755E-01 1.094E+01 7.965E-01 1.201E+01 1.174E+01 
