Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 5.363E+03 1.789E+00 2.614E+06 2.619E+06 2.614E+06 
1.022E-03 5.353E+03 1.841E+00 2.514E+06 2.519E+06 2.514E+06 
1.045E-03 5.342E+03 1.895E+00 2.417E+06 2.422E+06 2.417E+06 
1.045E-03 5.342E+03 1.895E+00 2.572E+06 2.577E+06 2.572E+06 
1.153E-03 5.293E+03 2.146E+00 2.142E+06 2.147E+06 2.142E+06 
1.273E-03 5.236E+03 2.419E+00 1.784E+06 1.789E+06 1.784E+06 
1.273E-03 5.236E+03 2.419E+00 1.809E+06 1.814E+06 1.809E+06 
1.354E-03 5.194E+03 2.608E+00 1.601E+06 1.606E+06 1.601E+06 
1.441E-03 5.149E+03 2.809E+00 1.417E+06 1.422E+06 1.417E+06 
1.441E-03 5.149E+03 2.809E+00 1.445E+06 1.450E+06 1.445E+06 
1.500E-03 5.118E+03 2.946E+00 1.331E+06 1.336E+06 1.331E+06 
2.000E-03 4.860E+03 4.088E+00 7.323E+05 7.372E+05 7.323E+05 
3.000E-03 4.355E+03 6.305E+00 2.997E+05 3.041E+05 2.997E+05 
3.552E-03 4.095E+03 7.465E+00 2.037E+05 2.078E+05 2.037E+05 
3.552E-03 4.095E+03 7.465E+00 4.962E+05 5.003E+05 4.962E+05 
3.639E-03 4.055E+03 7.642E+00 4.648E+05 4.689E+05 4.649E+05 
3.728E-03 4.015E+03 7.822E+00 4.355E+05 4.395E+05 4.355E+05 
3.728E-03 4.015E+03 7.822E+00 6.212E+05 6.252E+05 6.212E+05 
4.000E-03 3.895E+03 8.363E+00 5.213E+05 5.252E+05 5.213E+05 
4.303E-03 3.767E+03 8.950E+00 4.351E+05 4.389E+05 4.351E+05 
4.303E-03 3.767E+03 8.950E+00 5.067E+05 5.105E+05 5.067E+05 
5.000E-03 3.494E+03 1.023E+01 3.479E+05 3.514E+05 3.479E+05 
5.182E-03 3.427E+03 1.054E+01 3.174E+05 3.208E+05 3.174E+05 
5.182E-03 3.427E+03 1.054E+01 3.369E+05 3.403E+05 3.369E+05 
5.362E-03 3.363E+03 1.085E+01 3.096E+05 3.130E+05 3.096E+05 
5.548E-03 3.299E+03 1.116E+01 2.845E+05 2.878E+05 2.845E+05 
5.548E-03 3.299E+03 1.116E+01 2.967E+05 3.000E+05 2.967E+05 
6.000E-03 3.150E+03 1.189E+01 2.452E+05 2.484E+05 2.452E+05 
8.000E-03 2.596E+03 1.481E+01 1.202E+05 1.228E+05 1.202E+05 
1.000E-02 2.173E+03 1.738E+01 6.860E+04 7.079E+04 6.862E+04 
1.500E-02 1.476E+03 2.255E+01 2.430E+04 2.580E+04 2.432E+04 
1.717E-02 1.272E+03 2.428E+01 1.713E+04 1.843E+04 1.715E+04 
1.717E-02 1.272E+03 2.428E+01 4.098E+04 4.228E+04 4.100E+04 
2.000E-02 1.063E+03 2.619E+01 2.700E+04 2.809E+04 2.703E+04 
2.095E-02 1.004E+03 2.676E+01 2.387E+04 2.490E+04 2.390E+04 
2.095E-02 1.004E+03 2.676E+01 3.390E+04 3.493E+04 3.393E+04 
2.135E-02 9.809E+02 2.700E+01 3.228E+04 3.328E+04 3.230E+04 
2.176E-02 9.583E+02 2.723E+01 3.073E+04 3.172E+04 3.076E+04 
2.176E-02 9.583E+02 2.723E+01 3.546E+04 3.645E+04 3.549E+04 
3.000E-02 6.264E+02 3.096E+01 1.566E+04 1.632E+04 1.569E+04 
4.000E-02 4.211E+02 3.390E+01 7.383E+03 7.838E+03 7.417E+03 
5.000E-02 3.036E+02 3.571E+01 4.092E+03 4.431E+03 4.128E+03 
6.000E-02 2.285E+02 3.678E+01 2.515E+03 2.780E+03 2.552E+03 
8.000E-02 1.435E+02 3.762E+01 1.161E+03 1.342E+03 1.199E+03 
1.000E-01 9.957E+01 3.759E+01 6.354E+02 7.726E+02 6.730E+02 
1.156E-01 7.804E+01 3.729E+01 4.292E+02 5.445E+02 4.665E+02 
1.156E-01 7.804E+01 3.729E+01 1.819E+03 1.934E+03 1.856E+03 
1.500E-01 4.979E+01 3.620E+01 9.381E+02 1.024E+03 9.743E+02 
2.000E-01 2.982E+01 3.432E+01 4.489E+02 5.130E+02 4.832E+02 
3.000E-01 1.431E+01 3.085E+01 1.601E+02 2.053E+02 1.909E+02 
4.000E-01 8.422E+00 2.809E+01 7.899E+01 1.155E+02 1.071E+02 
5.000E-01 5.542E+00 2.590E+01 4.667E+01 7.811E+01 7.257E+01 
6.000E-01 3.921E+00 2.411E+01 3.086E+01 5.889E+01 5.497E+01 
8.000E-01 2.258E+00 2.133E+01 1.657E+01 4.016E+01 3.790E+01 
1.000E+00 1.466E+00 1.925E+01 1.049E+01 3.121E+01 2.974E+01 
