Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 3.494E+03 1.325E+00 1.121E+06 1.124E+06 1.121E+06 
1.500E-03 3.347E+03 2.294E+00 4.984E+05 5.017E+05 4.984E+05 
1.809E-03 3.248E+03 2.864E+00 3.350E+05 3.383E+05 3.350E+05 
1.809E-03 3.248E+03 2.864E+00 3.983E+05 4.016E+05 3.983E+05 
1.840E-03 3.238E+03 2.920E+00 5.896E+05 5.928E+05 5.896E+05 
1.872E-03 3.227E+03 2.978E+00 8.714E+05 8.746E+05 8.714E+05 
1.872E-03 3.227E+03 2.978E+00 9.502E+05 9.534E+05 9.502E+05 
2.000E-03 3.184E+03 3.213E+00 1.194E+06 1.197E+06 1.194E+06 
2.281E-03 3.089E+03 3.722E+00 8.602E+05 8.633E+05 8.602E+05 
2.281E-03 3.089E+03 3.722E+00 9.981E+05 1.001E+06 9.981E+05 
2.423E-03 3.044E+03 3.974E+00 8.614E+05 8.645E+05 8.614E+05 
2.575E-03 2.997E+03 4.239E+00 7.436E+05 7.466E+05 7.436E+05 
2.575E-03 2.997E+03 4.239E+00 7.904E+05 7.934E+05 7.904E+05 
2.694E-03 2.958E+03 4.449E+00 7.109E+05 7.138E+05 7.109E+05 
2.820E-03 2.917E+03 4.669E+00 6.393E+05 6.422E+05 6.393E+05 
2.820E-03 2.917E+03 4.669E+00 6.669E+05 6.698E+05 6.669E+05 
3.000E-03 2.858E+03 4.984E+00 5.778E+05 5.807E+05 5.778E+05 
4.000E-03 2.555E+03 6.675E+00 2.894E+05 2.920E+05 2.894E+05 
5.000E-03 2.284E+03 8.276E+00 1.666E+05 1.689E+05 1.666E+05 
6.000E-03 2.044E+03 9.777E+00 1.052E+05 1.073E+05 1.052E+05 
8.000E-03 1.654E+03 1.242E+01 5.039E+04 5.206E+04 5.040E+04 
1.000E-02 1.358E+03 1.463E+01 2.821E+04 2.958E+04 2.822E+04 
1.021E-02 1.332E+03 1.484E+01 2.674E+04 2.809E+04 2.675E+04 
1.021E-02 1.332E+03 1.484E+01 6.990E+04 7.125E+04 6.991E+04 
1.085E-02 1.254E+03 1.548E+01 5.933E+04 6.060E+04 5.935E+04 
1.154E-02 1.178E+03 1.612E+01 5.036E+04 5.155E+04 5.038E+04 
1.154E-02 1.178E+03 1.612E+01 6.939E+04 7.058E+04 6.941E+04 
1.182E-02 1.150E+03 1.636E+01 6.555E+04 6.671E+04 6.556E+04 
1.210E-02 1.122E+03 1.661E+01 6.191E+04 6.305E+04 6.193E+04 
1.210E-02 1.122E+03 1.661E+01 7.157E+04 7.271E+04 7.159E+04 
1.500E-02 8.811E+02 1.892E+01 4.150E+04 4.240E+04 4.152E+04 
2.000E-02 6.215E+02 2.212E+01 1.942E+04 2.006E+04 1.944E+04 
3.000E-02 3.675E+02 2.639E+01 6.545E+03 6.939E+03 6.571E+03 
4.000E-02 2.423E+02 2.878E+01 2.986E+03 3.257E+03 3.015E+03 
5.000E-02 1.714E+02 3.011E+01 1.615E+03 1.817E+03 1.645E+03 
6.000E-02 1.284E+02 3.083E+01 9.742E+02 1.133E+03 1.005E+03 
6.953E-02 1.013E+02 3.119E+01 6.465E+02 7.790E+02 6.777E+02 
6.953E-02 1.013E+02 3.119E+01 3.297E+03 3.429E+03 3.328E+03 
8.000E-02 8.066E+01 3.132E+01 2.272E+03 2.384E+03 2.303E+03 
1.000E-01 5.540E+01 3.115E+01 1.268E+03 1.355E+03 1.299E+03 
1.500E-01 2.710E+01 2.973E+01 4.259E+02 4.827E+02 4.556E+02 
2.000E-01 1.615E+01 2.804E+01 1.953E+02 2.395E+02 2.233E+02 
3.000E-01 7.668E+00 2.507E+01 6.612E+01 9.886E+01 9.119E+01 
4.000E-01 4.460E+00 2.277E+01 3.153E+01 5.876E+01 5.430E+01 
5.000E-01 2.911E+00 2.096E+01 1.820E+01 4.207E+01 3.916E+01 
6.000E-01 2.048E+00 1.949E+01 1.183E+01 3.337E+01 3.132E+01 
8.000E-01 1.171E+00 1.722E+01 6.235E+00 2.463E+01 2.345E+01 
1.000E+00 7.562E-01 1.553E+01 3.917E+00 2.020E+01 1.945E+01 
