Photon    Coherent Incoher. Photoel. Tot. w/  Tot. wo/ 
Energy    Scatter. Scatter. Absorb.  Coherent Coherent 

1.000E-03 9.397E+02 1.240E+00 5.695E+05 5.704E+05 5.695E+05 
1.500E-03 8.789E+02 2.008E+00 2.196E+05 2.205E+05 2.196E+05 
2.000E-03 8.193E+02 2.700E+00 1.087E+05 1.095E+05 1.087E+05 
2.080E-03 8.100E+02 2.808E+00 9.867E+04 9.948E+04 9.867E+04 
2.080E-03 8.100E+02 2.808E+00 3.868E+05 3.876E+05 3.868E+05 
2.117E-03 8.057E+02 2.858E+00 3.653E+05 3.661E+05 3.653E+05 
2.155E-03 8.013E+02 2.909E+00 3.449E+05 3.457E+05 3.449E+05 
2.155E-03 8.013E+02 2.909E+00 4.809E+05 4.817E+05 4.809E+05 
2.261E-03 7.893E+02 3.050E+00 4.289E+05 4.297E+05 4.289E+05 
2.373E-03 7.769E+02 3.196E+00 3.828E+05 3.836E+05 3.828E+05 
2.373E-03 7.769E+02 3.196E+00 4.364E+05 4.372E+05 4.364E+05 
3.000E-03 7.120E+02 3.993E+00 2.435E+05 2.442E+05 2.435E+05 
4.000E-03 6.196E+02 5.171E+00 1.165E+05 1.171E+05 1.165E+05 
5.000E-03 5.422E+02 6.245E+00 6.477E+04 6.532E+04 6.478E+04 
6.000E-03 4.784E+02 7.211E+00 3.975E+04 4.024E+04 3.976E+04 
8.000E-03 3.809E+02 8.829E+00 1.818E+04 1.857E+04 1.819E+04 
1.000E-02 3.090E+02 1.013E+01 9.825E+03 1.014E+04 9.835E+03 
1.500E-02 1.931E+02 1.261E+01 3.158E+03 3.364E+03 3.171E+03 
1.704E-02 1.636E+02 1.338E+01 2.202E+03 2.379E+03 2.215E+03 
1.704E-02 1.636E+02 1.338E+01 1.501E+04 1.519E+04 1.502E+04 
2.000E-02 1.314E+02 1.432E+01 9.975E+03 1.012E+04 9.989E+03 
3.000E-02 7.437E+01 1.634E+01 3.350E+03 3.441E+03 3.366E+03 
4.000E-02 4.814E+01 1.734E+01 1.506E+03 1.571E+03 1.523E+03 
5.000E-02 3.349E+01 1.781E+01 7.996E+02 8.509E+02 8.174E+02 
6.000E-02 2.462E+01 1.799E+01 4.730E+02 5.156E+02 4.910E+02 
8.000E-02 1.501E+01 1.788E+01 2.044E+02 2.373E+02 2.223E+02 
1.000E-01 1.016E+01 1.752E+01 1.059E+02 1.336E+02 1.234E+02 
1.500E-01 4.899E+00 1.637E+01 3.181E+01 5.308E+01 4.818E+01 
2.000E-01 2.866E+00 1.527E+01 1.359E+01 3.173E+01 2.886E+01 
3.000E-01 1.322E+00 1.350E+01 4.206E+00 1.903E+01 1.771E+01 
4.000E-01 7.576E-01 1.219E+01 1.897E+00 1.484E+01 1.409E+01 
5.000E-01 4.899E-01 1.117E+01 1.055E+00 1.271E+01 1.222E+01 
6.000E-01 3.424E-01 1.036E+01 6.697E-01 1.137E+01 1.103E+01 
8.000E-01 1.939E-01 9.127E+00 3.437E-01 9.665E+00 9.471E+00 
1.000E+00 1.245E-01 8.217E+00 2.142E-01 8.556E+00 8.431E+00 
