#clock speed (MHz),Performance,,,Utilization - CXP,,,,,,ML Performance,,"ML Performance (row < 54, no suspiciously narrow/wide)",,"AggreGATOR stats (image prediction = mean(row predictions + offset), tossing out nonsensical rows)",,
#
#1	 ,2    ,    3           ,4           ,   5,     6,  7,     8,     9, 10, 11, 12, 13,14 ,15 ,16 , 17 
#250,throughput,latency (cycles),latency (ns),# Nodes,LUT,DSP,RAMB18,RAMB36,Reg,MSE,MAE,MSE,MAE,MSE,MAE,Avg Variance for Image
#1	 ,2,3 ,4 ,5, 6    , 7     , 8   , 9   , 10   , 11 , 12 , 13,14 ,15   ,16  , 17 
NN_64_RELU,,39,156,,24.46%,195.88%,0.00%,0.00%,16.62%,8228,27.9,379,8.8,85.28,2.84,452375.65
NN_64_Leaky,,45,180,,26.91%,217.76%,0.00%,0.00%,18.47%,8785,29.3,436,9.9,65.61,3.49,447217.65
NN_32_32_RELU,,56,224,,56.86%,456.35%,0.00%,0.00%,38.65%,7320,24.6,335,10.6,114.36,6.56,454259.43
NN_32_32_Leaky,,68,272,,60.91%,479.65%,0.00%,0.00%,41.49%,8807,32.1,330,9,69.66,3.43,455108.25
NN_16_16_RELU,,54,216,,17.87%,139.06%,0.00%,0.00%,12.20%,8498,27.7,304,9.7,71.68,3.87,447406.97
NN_16_16_Leaky,,61,244,,17.93%,151.41%,0.00%,0.00%,12.31%,8433,30.7,394,10.5,79.94,4.56,450212.69
NN_8_8_RELU,,52,208,,6.27%,47.65%,0.00%,0.00%,4.30%,8849,29.1,396,10.8,68.83,3.36,445521.57
NN_8_8_Leaky,,,,,,,,,,,,1215,11.7,69.3,3.66,446703.78
NN_4_4_RELU,,46,184,,2.26%,17.65%,0.00%,0.00%,1.57%,11016,37.5,775,15.2,101.21,4.71,447701.3
NN_4_4_Leaky,,,,,,,,,,,,1962,17.4,70.82,5.17,445225.89
NN_16_4_RELU,,52,208,,8.58%,66.71%,0.00%,0.00%,5.85%,9367,28.2,579,10.5,71.96,2.91,447679.57
NN_16_4_Leaky,,,,,,,,,,,,679,10.8,64.68,3.12,448748.8
NN_8_4_RELU,,51,204,,4.57%,34.59%,0.00%,0.00%,3.12%,9455,37.1,386,11.8,62.86,3.47,448708.63
NN_8_4_Leaky,,,,,,,,,,,,1102,12.1,85.44,3.78,447136.97
XGBoost_10_5,,8,32,,0.60%,0.00%,0.00%,0.00%,0.47%,12812,54.6,1419,25.7,100.66,6.36,448903.43
XGBoost_20_5,,9,36,,1.22%,0.00%,0.00%,0.00%,0.87%,10106,48.7,870,16.9,73.04,4.25,447977.07
XGBoost_25_5,,9,36,,1.53%,0.00%,0.00%,0.00%,1.06%,9449,47.7,756,15,64.89,3.9,447876.45
XGBoost_10_6,,8,32,,0.98%,0.00%,0.00%,0.00%,0.75%,11720,49.7,890,17.8,86.54,5.04,448327.07
XGBoost_20_6,,9,36,,2.01%,0.00%,0.00%,0.00%,1.44%,9084,44.6,589,13.5,63.73,3.66,448135.1
XGBoost_40_4,,9,36,,1.38%,0.00%,0.00%,0.00%,0.98%,9045,45.9,896,17.8,77.49,4.85,448324.13
XGBoost_64_4,,9,36,,2.16%,0.00%,0.00%,0.00%,1.52%,7513,40.4,599,13.8,56.5,3.74,447980.73
XGBoost_96_4,,10,40,,3.28%,0.00%,0.00%,0.00%,2.24%,6771,38.8,470,12.2,34.18,3.04,447120.32
XGBoost_128_3,,10,40,,2.92%,0.00%,0.00%,0.00%,2.08%,8234,42.4,686,15.6,50.9,3.79,447083.21
